id,title,description,type,focusArea,councilAcronym,date,link
1,IT Modernization Guide,Comprehensive guide for modernizing legacy IT systems and infrastructure.,Guide,IT Modernization,CIOC,2024-01-15,/resources/document-1
2,Cybersecurity Best Practices,Essential cybersecurity practices and protocols for Federal agencies.,Documentation,Cybersecurity,CIOC,2024-02-10,/resources/document-2
3,Cloud Migration Toolkit,Tools and resources to support cloud migration initiatives.,Toolkit,Cloud Computing,CIOC,2023-12-05,/resources/document-3
4,Data Governance Framework,Framework for establishing effective data governance practices.,Framework,Data Management,CIOC,2024-01-20,/resources/document-4
5,Agile Development Handbook,Handbook for implementing agile methodologies in government IT projects.,Guide,Software Development,CIOC,2023-11-18,/resources/document-5
6,Privacy Impact Assessment Template,Template for conducting privacy impact assessments.,Template,Privacy,CIOC,2024-02-01,/resources/document-6
7,API Security Standards,Standards and guidelines for securing APIs in government systems.,Documentation,Cybersecurity,CIOC,2023-10-12,/resources/document-7
8,Digital Transformation Roadmap,Strategic roadmap for digital transformation initiatives.,Guide,IT Modernization,CIOC,2024-01-08,/resources/document-8
9,Workforce Development Program,Program materials for developing IT workforce capabilities.,Program,Workforce,CIOC,2023-09-25,/resources/document-9
10,Financial Management Best Practices,Best practices for financial management and reporting in Federal agencies.,Guide,Financial Management,COFFA,2024-01-22,/resources/document-10
11,Budget Planning Framework,Framework for effective budget planning and execution.,Framework,Budget Planning,COFFA,2023-12-15,/resources/document-11
12,Audit Preparation Guide,Comprehensive guide for preparing for financial audits.,Guide,Auditing,COFFA,2024-02-05,/resources/document-12
13,Financial Reporting Standards,Standards for financial reporting and compliance.,Documentation,Financial Management,COFFA,2023-11-30,/resources/document-13
14,Cost Management Toolkit,Tools and resources for effective cost management.,Toolkit,Budget Planning,COFFA,2024-01-10,/resources/document-14
15,Annual Financial Report Template,Template for annual financial reporting requirements.,Template,Financial Management,COFFA,2023-10-20,/resources/document-15
